u,v
7602,15761
7610,7612
7680,7682
7719,7725
7761,7768
7787,7788
7787,8088
7787,8090
7787,8203
7787,8205
7787,14214
7787,14215
7788,8088
7788,8203
7788,8205
7863,8685
7863,10307
7863,10505
7863,11087
7863,13707
7943,9070
7956,7959
7956,10137
8039,8040
8039,8046
8039,8051
8040,8046
8040,8051
8046,8051
8088,8090
8088,8093
8088,8203
8088,8205
8090,8093
8090,10538
8090,14214
8133,8136
8133,8137
8136,8137
8136,9101
8136,11148
8136,11891
8158,8160
8160,13023
8160,13655
8167,8927
8167,10171
8167,10309
8167,11963
8167,15104
8167,15105
8167,15107
8167,16195
8203,8205
8203,8292
8203,8294
8292,8294
8302,15363
8311,12468
8311,12749
8348,8365
8384,12799
8447,8448
8453,8455
8475,8477
8525,8526
8526,12315
8526,12316
8570,8573
8570,8886
8613,8614
8616,8617
8627,14503
8627,14504
8647,10827
8647,11947
8674,11995
8685,10505
8704,8707
8721,13721
8729,15145
8757,8758
8757,11644
8757,11939
8758,11939
8767,8795
8833,8836
8833,8837
8833,8839
8836,8837
8836,8839
8837,8839
8852,8854
8866,15949
8900,9206
8927,11963
8927,15104
8927,15105
8927,15107
8936,13369
8940,14221
8994,9000
8994,9002
9000,9002
9000,16157
9002,16157
9032,9748
9076,9077
9101,11891
9113,9133
9224,11027
9287,9288
9318,13496
9324,14601
9345,9346
9350,10836
9350,10840
9350,10843
9350,10849
9350,10852
9350,10855
9362,9368
9362,12039
9381,9384
9381,9388
9384,9388
9384,11696
9384,13587
9434,12270
9475,13873
9475,13978
9547,10295
9821,16427
9940,9942
9949,12943
9977,9978
10051,10065
10051,10067
10065,10067
10065,14513
10065,14525
10161,10163
10225,14897
10297,11331
10309,10411
10309,10418
10309,10419
10309,12533
10309,12674
10309,15834
10314,12180
10314,12377
10314,12381
10350,10355
10350,15454
10350,15458
10379,10383
10379,10386
10379,10387
10383,10386
10383,10387
10386,10387
10411,10418
10411,10419
10411,12674
10418,10419
10424,10426
10452,12399
10477,11295
10486,10495
10495,13399
10495,13401
10718,10719
10836,10840
10836,10843
10836,10849
10836,10852
10836,10855
10840,10843
10840,10849
10840,10852
10840,10855
10843,10849
10843,10852
10843,10855
10849,10852
10849,10855
10852,10855
10897,10898
10897,15803
11065,12758
11090,11091
11090,12467
11146,11325
11341,11342
11381,11382
11430,12056
11536,12073
11536,16335
11593,11595
11793,11794
11890,12433
11917,16414
11947,12594
11963,12816
11963,15104
11963,15105
11963,15107
12000,12001
12073,16335
12206,15337
12315,12316
12377,12381
12418,13854
12494,12496
12533,12674
12541,12543
12576,16049
12621,12623
12629,13946
13023,13655
13110,15019
13150,13152
13150,16161
13324,16389
13399,13401
13614,13615
13752,13757
13752,13766
13757,13766
13786,16023
13814,14808
13814,14809
13873,16702
13877,13880
14002,14007
14002,14010
14002,14012
14007,14010
14007,14012
14010,14012
14028,16436
14058,14060
14112,14113
14180,14181
14214,14215
14447,14448
14447,14449
14447,14450
14448,14449
14448,14450
14449,14450
14480,14481
14503,14504
14513,14525
14542,15400
14552,15006
14605,14606
14720,14721
14761,14763
14808,14809
15024,15028
15024,15032
15024,15033
15028,15032
15028,15033
15032,15033
15104,15105
15104,15107
15105,15107
15174,15175
15208,15216
15216,15222
15216,15223
15222,15223
15269,15270
15454,15458
15496,15497
15532,15564
15670,16294
15670,16301
15670,16302
15670,16306
15670,16315
15794,15795
15807,15808
15848,15856
15860,16057
15876,15877
15885,15886
15914,15915
15914,15917
15915,15917
15924,16055
16207,16214
16294,16301
16294,16302
16294,16306
16294,16315
16301,16302
16301,16306
16301,16315
16302,16306
16302,16315
16306,16315
16436,16520
