u,v
2682,8241
2688,9862
2699,10977
2713,3625
2715,4789
2722,11568
2727,3769
2730,3769
2731,15213
2735,8299
2738,4440
2745,3162
2746,7256
2750,9552
2760,8931
2765,3038
2772,2787
2778,2780
2785,8987
2805,13317
2817,3225
2820,2827
2828,3456
2843,4665
2844,7788
2848,3648
2860,7906
2876,3024
2881,6263
2883,11612
2889,3993
2899,2900
2905,12660
2908,9604
2919,7423
2922,7422
2939,2940
2957,4484
2966,3775
2973,12206
2986,10814
3006,6940
3028,5502
3035,7103
3057,3061
3063,16299
3075,14693
3085,9162
3099,5277
3105,10215
3124,3741
3128,3388
3142,3682
3144,12945
3150,14097
3160,6765
3162,6784
3163,6767
3165,6422
3166,6773
3168,6763
3169,6774
3172,6770
3174,9311
3175,13595
3180,4921
3182,13196
3185,13608
3198,4903
3217,4398
3220,9946
3233,3744
3238,6876
3242,13807
3250,3252
3252,10171
3258,4365
3259,5255
3268,3767
3272,9761
3286,8676
3288,4563
3310,9113
3338,12338
3353,3704
3365,11890
3375,5791
3386,3388
3394,14196
3398,10817
3402,12277
3420,14485
3436,4338
3446,5968
3452,11215
3459,7658
3462,10998
3467,6294
3471,7661
3483,15634
3493,6901
3505,3832
3509,12523
3517,8963
3546,6376
3549,8448
3555,9328
3564,3571
3567,3994
3569,4677
3572,10684
3579,11310
3590,6384
3592,5365
3602,4610
3610,6888
3612,8327
3620,7402
3641,8164
3642,15461
3651,3756
3658,6200
3659,8682
3666,10696
3678,4295
3680,5388
3691,7835
3698,10565
3705,13715
3708,15628
3713,13741
3721,8160
3724,13652
3742,4645
3754,6231
3758,3764
3761,3762
3765,4106
3774,4986
3781,11787
3818,7801
3824,15035
3844,4951
3854,10103
3866,10810
3877,7236
3879,14070
3889,3890
3899,7037
3928,13949
3932,7906
3956,3962
3978,7807
3982,12096
3989,3993
3992,7703
3995,7704
4000,7701
4006,13099
4018,4266
4027,9647
4031,8363
4049,5900
4056,9097
4066,5264
4079,4081
4088,10622
4096,14174
4107,11903
4121,4123
4122,6803
4126,10056
4142,4659
4159,4160
4183,4726
4186,14002
4199,11048
4214,11995
4227,8443
4237,12564
4242,6423
4260,4261
4266,10243
4280,6802
4287,5502
4291,8706
4304,8601
4322,5104
4343,4344
4362,8033
4373,11116
4398,11947
4413,6448
4418,7985
4429,7161
4447,15215
4469,8160
4486,6199
4490,10504
4504,13650
4519,8557
4534,12059
4543,6675
4546,6755
4551,8172
4558,5790
4564,13746
4579,5875
4592,10914
4599,4610
4608,5778
4617,4618
4631,6216
4635,5545
4643,8592
4656,5477
4667,11157
4684,6384
4692,5258
4699,6310
4710,15465
4718,6197
4721,4722
4737,13286
4747,8512
4778,5648
4789,9949
4806,16111
4820,5978
4825,5370
4829,10411
4846,4848
4854,4865
4858,11751
4864,7788
4881,6355
4895,4898
4905,5504
4913,10269
4927,7048
4940,11861
4953,4960
4961,8028
4981,15840
5006,7533
5020,10847
5022,10273
5023,10680
5025,13999
5026,11434
5039,16401
5052,16303
5054,15918
5058,7527
5076,13385
5087,6286
5092,12532
5108,5109
5125,10838
5131,13773
5148,7100
5156,9085
5167,7091
5173,13100
5185,5550
5196,8688
5216,5499
5222,6313
5228,10852
5244,12257
5254,8950
5261,5265
5264,5287
5267,16155
5273,5274
5279,9072
5290,12521
5302,5303
5317,5609
5341,8172
5363,5378
5369,7967
5373,6896
5376,6238
5398,5399
5401,9738
5423,5424
5448,5826
5461,5785
5475,9628
5490,8384
5499,7028
5500,15118
5501,13033
5502,7176
5502,11963
5505,7031
5507,7016
5507,14060
5513,7640
5521,7664
5540,7133
5550,13536
5561,7396
5588,8176
5605,12907
5649,6216
5667,9372
5683,5688
5700,6372
5721,9593
5726,8974
5732,5734
5737,8368
5757,8681
5767,6798
5772,5787
5775,13343
5777,6701
5780,5792
5782,6977
5784,6700
5785,13333
5787,8964
5789,13344
5792,13341
5806,6298
5817,10506
5838,5839
5869,6116
5883,14279
5904,5913
5907,6729
5909,10328
5912,15023
5914,15038
5919,15029
5925,10475
5945,5946
5958,15141
5965,13297
5984,8340
6003,7958
6010,11195
6025,8089
6037,6652
6046,6059
6051,12509
6056,13556
6063,16086
6098,9642
6129,6200
6147,6148
6161,10967
6186,8249
6197,6973
6197,11967
6198,7680
6199,6339
6199,9910
6200,6967
6200,11897
6201,8930
6208,6209
6216,6781
6216,16196
6221,8431
6225,9663
6232,6235
6259,6260
6280,13589
6286,13979
6317,6318
6348,11221
6362,13691
6381,15455
6393,8966
6401,12739
6422,6899
6442,6466
6446,6468
6451,6462
6457,6459
6470,10525
6479,7196
6496,6708
6516,6529
6518,6525
6520,6529
6522,6528
6524,6540
6526,9732
6529,6536
6531,9735
6535,6536
6538,9739
6542,9744
6550,6557
6553,8027
6556,10276
6588,6589
6607,13831
6614,7503
6640,6643
6645,6651
6647,11133
6658,6664
6660,6671
6661,15185
6663,6690
6665,6693
6667,6699
6670,6688
6672,13522
6675,6685
6678,6684
6680,6696
6682,6689
6685,6693
6687,6703
6691,6706
6696,6702
6700,15193
6706,15185
6724,11160
6732,8421
6742,15777
6754,9311
6755,15032
6758,6763
6759,6792
6763,6807
6765,13556
6768,8758
6770,6777
6772,6800
6775,6803
6778,8756
6782,6786
6793,6803
6800,13745
6822,6988
6845,11523
6864,10546
6869,7883
6879,14018
6894,13636
6900,6908
6911,16596
6938,16400
6956,6980
6959,6974
6962,6972
6965,7170
6968,9384
6971,13537
6976,12431
6980,9068
7012,7201
7027,7687
7041,14269
7057,12296
7076,9391
7095,7096
7125,7127
7134,7448
7151,10403
7161,15006
7176,7461
7191,11747
7208,10233
7216,7808
7225,8066
7236,13970
7250,9710
7277,7281
7299,7315
7309,7310
7324,7326
7328,16214
7332,16213
7346,13989
7388,8267
7421,14005
7447,7449
7458,7464
7490,8644
7508,9613
7539,7541
7562,12655
7611,16340
7640,12934
7658,8021
7673,7674
7693,7694
7712,13619
7749,8757
7772,14421
7785,14223
7800,7801
7808,14087
7823,13647
7857,7859
7877,7878
7907,8027
7943,9544
7965,14993
7985,14614
7999,16158
8027,10242
8036,13796
8040,11327
8044,13795
8050,13796
8077,8080
8092,8292
8126,10483
8136,11899
8164,15463
8177,12531
8201,8202
8243,8249
8268,12762
8293,12610
8328,8412
8343,8347
8346,8367
8351,8367
8358,8364
8384,12798
8414,9030
8443,12401
8469,8477
8498,9760
8533,12456
8556,14417
8570,8573
8588,8591
8623,10170
8653,8656
8681,9334
8707,8812
8734,11613
8766,8779
8769,8795
8773,8794
8778,8794
8785,8796
8813,13920
8835,8839
8863,15138
8896,10546
8914,12155
8931,13275
8965,15768
8987,8991
8994,9010
8998,9004
9001,16159
9006,16149
9024,9025
9044,12130
9054,10328
9068,15425
9101,11894
9158,11785
9207,9209
9224,11024
9249,10273
9262,10505
9286,9430
9302,10400
9335,10800
9351,10849
9365,15375
9381,9854
9387,11493
9401,12096
9461,9757
9490,12693
9538,9539
9556,10791
9593,10309
9624,9834
9663,11292
9707,15785
9732,9733
9741,9743
9781,16043
9811,11048
9834,11022
9866,10102
9900,10411
9962,10517
10000,10173
10050,10069
10055,10056
10060,10071
10066,10073
10100,14828
10155,10157
10181,10183
10235,12479
10262,10263
10309,10419
10324,10325
10329,15035
10350,15468
10365,11818
10385,10388
10415,10416
10466,12376
10490,13423
10506,16383
10555,11229
10571,14709
10635,10641
10662,16464
10703,10712
10747,16434
10781,15650
10827,16374
10838,10850
10846,10850
10903,10911
10913,13590
10967,11030
11001,11567
11020,11025
11043,11044
11071,12467
11126,11145
11157,11159
11202,11412
11237,11238
11296,11298
11359,11362
11447,11448
11514,11515
11550,13645
11613,13392
11710,13814
11780,11783
11857,11860
11891,11895
11945,11946
11965,15103
12006,13771
12059,12061
12094,12095
12125,12126
12174,12283
12249,15322
12267,12388
12341,12343
12425,12808
12492,12495
12532,12676
12612,12613
12673,12676
12763,12768
12789,12792
12826,12829
12833,12834
12855,13756
12898,12899
12962,14802
13006,14305
13092,13093
13161,14356
13297,13299
13335,15450
13366,13367
13408,13524
13458,15855
13559,13595
13567,13584
13575,13584
13620,13822
13660,13661
13704,13705
13740,15512
13744,13748
13747,13761
13751,13763
13756,13763
13763,13769
13796,13798
13883,15425
13956,16654
13991,14016
13995,14002
13999,14001
14003,14019
14009,14020
14034,14035
14162,16387
14273,15633
14358,14362
14479,14480
14509,14525
14513,14531
14519,14520
14527,14528
14584,14585
14699,14723
14782,14925
14868,15533
14986,16296
15022,15025
15030,15033
15099,15102
15175,15177
15190,15196
15246,15247
15383,16461
15405,15432
15460,15463
15548,15769
15603,15604
15661,16147
15670,16307
15674,16300
15689,15690
15791,15792
15879,15880
15907,15909
15956,15958
15990,16002
16130,16133
16207,16209
16292,16314
16296,16304
16300,16310
16305,16315
16313,16315
16332,16347
16339,16349
16428,16429
16463,16468
16566,16568
16654,16655
